Node ID,Latitude,Longitude
284157573,-33.8731277,151.2082796
284157574,-33.8727691,151.2062140
284157576,-33.8728864,151.2040061
284157788,-33.8728099,151.2049980
284157791,-33.8728939,151.2039377
292825591,-33.8682066,151.2031066
292825595,-33.8679075,151.2033766
318862598,-33.8672432,151.2015537
321335154,-33.8727428,151.2060293
324400372,-33.8722618,151.2017658
324400447,-33.8668415,151.2012714
348994739,-33.8719143,151.2051657
348994783,-33.8675288,151.2018027
348994988,-33.8707215,151.2026696
348995084,-33.8728452,151.2019743
354187407,-33.8684281,151.2054339
356199769,-33.8702494,151.2054531
356199770,-33.8702776,151.2051007
356199771,-33.8700449,151.2050737
356201188,-33.8704109,151.2051581
363605481,-33.8706330,151.2107901
363605544,-33.8722941,151.2115513
377882882,-33.8683253,151.2053661
403820490,-33.8687460,151.2036296
403820498,-33.8687329,151.2045852
403820531,-33.8687042,151.2051682
410403272,-33.8717322,151.2099196
458705369,-33.8668898,151.2006920
494615450,-33.8726057,151.2068901
494615451,-33.8709241,151.2068063
494615452,-33.8709347,151.2064809
494616117,-33.8691152,151.2065643
494616118,-33.8691885,151.2068186
494616120,-33.8688074,151.2068109
494616121,-33.8688041,151.2065651
569936709,-33.8745028,151.2043172
598872805,-33.8710708,151.2037367
598916870,-33.8687344,151.2034635
600645162,-33.8703012,151.2030651
600645164,-33.8699226,151.2030863
600645165,-33.8697251,151.2030849
600645166,-33.8699324,151.2031593
600645167,-33.8694535,151.2030905
642998218,-33.8709844,151.2119282
642998219,-33.8710714,151.2118470
642998220,-33.8710564,151.2117149
642998221,-33.8709544,151.2116648
642998222,-33.8708674,151.2117460
642998224,-33.8708825,151.2118781
642998261,-33.8729053,151.2102289
642998262,-33.8717557,151.2110615
642998284,-33.8708587,151.2116568
642998288,-33.8708194,151.2118647
642998290,-33.8709122,151.2119769
648895988,-33.8701105,151.2120729
648895990,-33.8740916,151.2109575
648896022,-33.8700859,151.2117275
648896024,-33.8716719,151.2114986
648896026,-33.8720508,151.2114585
648910677,-33.8743985,151.2112878
648910682,-33.8737461,151.2112519
648910704,-33.8701433,151.2118978
648947391,-33.8657515,151.2129183
648947394,-33.8659681,151.2126965
649584125,-33.8658878,151.2128738
649584128,-33.8657759,151.2129933
649584137,-33.8656372,151.2131785
649584143,-33.8653438,151.2135964
649584146,-33.8650218,151.2140364
649584148,-33.8649226,151.2141339
649584276,-33.8737749,151.2109010
649611581,-33.8701275,151.2121444
649611595,-33.8717134,151.2119151
651229874,-33.8745307,151.2066255
651229877,-33.8743107,151.2066264
651229878,-33.8728122,151.2068194
651229879,-33.8725844,151.2068171
651229880,-33.8712176,151.2064503
651229883,-33.8705564,151.2062605
651229886,-33.8700725,151.2061542
651229889,-33.8694907,151.2060747
651229892,-33.8688568,151.2060169
651229895,-33.8677945,151.2058887
651229897,-33.8652053,151.2055396
651229942,-33.8716692,151.2116861
651266421,-33.8748912,151.2066323
651266422,-33.8743157,151.2067079
651266423,-33.8728199,151.2068983
651266424,-33.8725859,151.2069012
651266425,-33.8718433,151.2067124
651266426,-33.8715296,151.2065969
651266427,-33.8708545,151.2063680
651266428,-33.8705545,151.2062867
651266429,-33.8694837,151.2061007
651266430,-33.8688517,151.2060361
