gran,kernel_size,threshold,selectivity,shift,f1_score
39.0,6.0,0.8710958904109589,1.47013698630137,-32.0,0.06283325231244093
10.0,8.0,0.30917808219178083,1.0016438356164383,-2.0,0.5069774580896889
35.0,4.0,0.7752054794520548,1.9776712328767125,7.0,0.32056182961252255
9.0,1.0,0.9535616438356165,2.1494520547945206,-25.0,0.022283019983278186
5.0,3.0,0.42232876712328765,2.0323287671232877,-2.0,0.30406677485611416
17.0,4.0,0.7886301369863014,1.353013698630137,29.0,0.10772925056992712
35.0,1.0,0.21136986301369864,0.9938356164383563,20.0,0.5589934169628661
40.0,8.0,0.6697260273972603,2.329041095890411,22.0,0.4052753922591347
2.0,6.0,0.9823287671232876,2.8834246575342464,-11.0,0.025776703746746774
15.0,1.0,0.99,0.9235616438356165,29.0,0.021605170934386485
33.0,4.0,0.0426027397260274,2.578904109589041,8.0,0.5461248157153822
2.0,6.0,0.4587671232876712,0.23643835616438358,-13.0,0.4267724881036294
33.0,4.0,0.7310958904109589,0.213013698630137,-8.0,0.3652655924782077
31.0,8.0,0.9516438356164384,3.7345205479452055,31.0,0.07831052250416418
44.0,4.0,0.22863013698630139,3.2113698630136986,30.0,0.46646347726897547
32.0,1.0,0.85,0.7595890410958904,-10.0,0.15598636495731313
42.0,3.0,0.173013698630137,0.5800000000000001,-3.0,0.3855444915275195
25.0,3.0,0.9554794520547946,3.5471232876712326,-7.0,0.04188527297013623
15.0,5.0,0.6467123287671233,2.9615068493150685,-27.0,0.07262308253648823
21.0,8.0,0.8480821917808219,0.22863013698630139,-21.0,0.1934863438365538
37.0,6.0,0.20178082191780822,3.7267123287671233,-12.0,0.2068211552755691
45.0,7.0,0.9056164383561643,2.446164383561644,5.0,0.1867401431422605
27.0,7.0,0.21136986301369864,1.962054794520548,17.0,0.548914661410591
41.0,1.0,0.26123287671232875,2.04013698630137,31.0,0.4654553651952417
11.0,2.0,0.18835616438356165,2.781917808219178,13.0,0.35956239897370146
21.0,2.0,0.685068493150685,2.578904109589041,-6.0,0.17485548554562122
47.0,3.0,0.8691780821917808,2.407123287671233,-5.0,0.09504818920932662
32.0,5.0,0.40506849315068494,1.6809589041095891,-32.0,0.1242123993848852
5.0,7.0,0.9324657534246575,3.6642465753424656,1.0,0.07992056902893215
22.0,3.0,0.0426027397260274,3.6095890410958904,4.0,0.5174874116222486
2.0,2.0,0.3954794520547945,1.6263013698630138,18.0,0.1450415280866158
21.0,2.0,0.6793150684931507,3.953150684931507,6.0,0.2595294717200318
15.0,6.0,0.33986301369863015,3.8516438356164384,27.0,0.1458031060098137
43.0,1.0,0.038767123287671235,0.33794520547945206,-6.0,0.30014208428122585
22.0,7.0,0.14808219178082194,0.2052054794520548,-17.0,0.2820000844355451
27.0,8.0,0.09630136986301369,2.7194520547945205,23.0,0.47497440895958704
